PomBaseIDs,medium,replicate,proteome_fraction
SPACUNK4.10,Glu,1,0.0013519072130821878
SPCC736.15,Glu,1,0.0011636711662355772
SPAC10F6.13c,Glu,1,6.202839050891482e-4
SPBC1539.03c,Glu,1,6.087342962079165e-4
SPAC343.05,Glu,1,8.542214015058384e-4
SPAC26F1.13c,Glu,1,0.001028590551137327
SPAC22A12.16,Glu,1,0.0011017138940269382
SPBC1773.10c,Glu,1,6.807353987279931e-4
SPBC1921.05,Glu,1,6.188847970942474e-4
SPBC2G5.06c,Glu,1,7.626008075529901e-4
SPBC14F5.09c,Glu,1,0.001001089559330091
SPAC26H5.09c,Glu,1,0.0012571593094773614
SPBC1289.03c,Glu,1,0.0013789699496304516
SPBC17G9.03c,Glu,1,0.001149914669044332
SPBC18H10.14;SPAC664.04c,Glu,1,0.0013105344357731232
SPBC25B2.09c,Glu,1,6.079714230422461e-4
SPAC4G9.09c,Glu,1,7.22697917763457e-4
SPAC31G5.04,Glu,1,9.80918128199176e-4
SPAC17A5.15c,Glu,1,7.288485437785222e-4
SPBC776.03,Glu,1,0.001172305374422868
SPAC13G6.02c,Glu,1,9.517611677028513e-4
SPAC25G10.08,Glu,1,7.925006117821032e-4
SPAC9E9.06c,Glu,1,0.0010709851174618237
SPBC1709.02c,Glu,1,0.0010289066042290078
SPAC1F12.07,Glu,1,0.0010511382263150414
SPBC839.16,Glu,1,0.0011355077905363103
SPCC550.06c,Glu,1,8.694849444461351e-4
SPCC24B10.09,Glu,1,0.0016194126384859885
SPAC6F12.10c,Glu,1,8.783405981467079e-4
SPAC1556.02c,Glu,1,0.0012239228980859176
SPBC409.10,Glu,1,3.851677936187301e-4
SPBC428.11,Glu,1,0.001427521459114884
SPBC21C3.08c,Glu,1,0.002076788503208849
SPBC11B10.02c,Glu,1,6.107720267127934e-4
SPBC1604.21c,Glu,1,7.64164596764152e-4
SPBC16A3.08c,Glu,1,0.001795564785589229
SPBC32F12.10,Glu,1,6.930915932505679e-4
SPAC23A1.11,Glu,1,9.232713285405121e-4
SPCC1223.08c,Glu,1,8.554587626732757e-4
SPBC17G9.07,Glu,1,0.0012911944050786816
SPCC1322.11;SPAC3G9.03,Glu,1,0.0014480662093391457
SPCC70.03c,Glu,1,3.6673585666639557e-4
SPAC13A11.05,Glu,1,4.2738772297332145e-4
SPBC460.02c,Glu,1,3.5434279101936725e-4
SPCC550.14,Glu,1,7.900003608480631e-4
SPBP22H7.08,Glu,1,0.0013887164749360934
SPAC17A2.13c,Glu,1,5.565920199047658e-4
SPAC3H5.07,Glu,1,9.130449419096795e-4
SPAC4F8.14c,Glu,1,0.0012961858912642805
SPAC26F1.03,Glu,1,5.16820158784018e-4
SPCC23B6.01c,Glu,1,4.295579372571346e-4
