PomBaseIDs,annotations,class,subclass
SPBC19F8.03c,vesicle-mediated transport,6: Other metabolism,NA
SPBC19F8.08,translation,0: Translation/RiBi,NA
SPBC19G7.02,vitamin metabolic process,5: Vitamins,NA
SPBC19G7.03c;SPAC19B12.04,translation,0: Translation/RiBi,NA
SPBC19G7.05c,carbohydrate metabolic process,6: Other metabolism,NA
SPBC19G7.14c,vesicle-mediated transport,6: Other metabolism,NA
SPBC19G7.15,translation,0: Translation/RiBi,NA
SPBC19G7.17,transmembrane transport,6: Other metabolism,NA
SPBC19G7.19,transmembrane transport,6: Other metabolism,NA
SPBC1A4.02c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC1A4.06c,lipid metabolic process,4: Lipids,NA
SPBC1A4.07c,translation,0: Translation/RiBi,NA
SPBC1A4.09,translation,0: Translation/RiBi,NA
SPBC20F10.01,translation,0: Translation/RiBi,NA
SPBC20F10.09,translation,0: Translation/RiBi,NA
SPBC211.03c,vesicle-mediated transport,6: Other metabolism,NA
SPBC211.08c,translation,0: Translation/RiBi,NA
SPBC215.01,vesicle-mediated transport,6: Other metabolism,NA
SPBC215.05,carbohydrate metabolic process,6: Other metabolism,NA
SPBC215.06c,translation,0: Translation/RiBi,NA
SPBC215.08c,cellular amino acid metabolic process;nitrogen cycle metabolic process;nucleobase-containing small molecule metabolic process,3: Amino acids,NA
SPBC215.09c,lipid metabolic process,4: Lipids,NA
SPBC215.14c,vesicle-mediated transport,6: Other metabolism,NA
SPBC215.15,vesicle-mediated transport,6: Other metabolism,NA
SPBC21B10.04c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC21B10.07,carbohydrate metabolic process,6: Other metabolism,NA
SPBC21B10.09,transmembrane transport,6: Other metabolism,NA
SPBC21B10.10,translation,0: Translation/RiBi,NA
SPBC21C3.01c,vesicle-mediated transport,6: Other metabolism,NA
SPBC21C3.08c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC21C3.09c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC21C3.10c,vitamin metabolic process,5: Vitamins,NA
SPBC21C3.13,translation,0: Translation/RiBi,NA
SPBC21C3.17c,vesicle-mediated transport,6: Other metabolism,NA
SPBC21C3.19,translation,0: Translation/RiBi,NA
SPBC21D10.05c,vesicle-mediated transport,6: Other metabolism,NA
SPBC21D10.11c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC21H7.03c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC21H7.04,translation,0: Translation/RiBi,NA
SPBC21H7.07c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC23E6.04c,translation,0: Translation/RiBi,NA
SPBC23E6.05,translation,0: Translation/RiBi,NA
SPBC23E6.06c,generation of precursor metabolites and energy;vitamin metabolic process,2: Precursors/Energy,Other
SPBC23E6.08,vesicle-mediated transport,6: Other metabolism,NA
SPBC23E6.10c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC23G7.05,translation,0: Translation/RiBi,NA
SPBC23G7.07c,translation,0: Translation/RiBi,NA
SPBC23G7.08c,vesicle-mediated transport,6: Other metabolism,NA
SPBC23G7.13c,transmembrane transport,6: Other metabolism,NA
SPBC23G7.15c,translation,0: Translation/RiBi,NA
SPBC23G7.16,transmembrane transport,6: Other metabolism,NA
SPBC244.02c,translation,0: Translation/RiBi,NA
SPBC24C6.02,translation,0: Translation/RiBi,NA
SPBC24C6.03,cellular amino acid metabolic process,3: Amino acids,NA
SPBC24C6.04,cellular amino acid metabolic process,3: Amino acids,NA
SPBC24C6.05,vesicle-mediated transport,6: Other metabolism,NA
SPBC25B2.01,translation,0: Translation/RiBi,NA
SPBC25B2.05,translation,0: Translation/RiBi,NA
SPBC25B2.09c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC25D12.04,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC25H2.02,cellular amino acid metabolic process,3: Amino acids,NA
SPBC25H2.03,lipid metabolic process,4: Lipids,NA
SPBC25H2.06c,vesicle-mediated transport,6: Other metabolism,NA
SPBC25H2.07,translation,0: Translation/RiBi,NA
SPBC25H2.15,translation,0: Translation/RiBi,NA
SPBC25H2.16c,vesicle-mediated transport,6: Other metabolism,NA
SPBC26H8.01,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBC26H8.02c,vesicle-mediated transport,6: Other metabolism,NA
SPBC26H8.03,lipid metabolic process,4: Lipids,NA
SPBC26H8.06,sulfur compound metabolic process,6: Other metabolism,NA
SPBC26H8.08c,translation,0: Translation/RiBi,NA
SPBC26H8.10,translation,0: Translation/RiBi,NA
SPBC26H8.11c,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPBC27.01c,vesicle-mediated transport,6: Other metabolism,NA
SPBC27.06c,transmembrane transport,6: Other metabolism,NA
SPBC27.08c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC27B12.03c,lipid metabolic process,4: Lipids,NA
SPBC27B12.06,lipid metabolic process,4: Lipids,NA
SPBC27B12.08,vesicle-mediated transport,6: Other metabolism,NA
SPBC27B12.10c,transmembrane transport,6: Other metabolism,NA
SPBC27B12.12c,transmembrane transport,6: Other metabolism,NA
SPBC27B12.13,transmembrane transport,6: Other metabolism,NA
SPBC28E12.05,translation,0: Translation/RiBi,NA
SPBC29A10.01,lipid metabolic process,4: Lipids,NA
SPBC29A10.08,carbohydrate metabolic process,6: Other metabolism,NA
SPBC29A10.11c,vesicle-mediated transport,6: Other metabolism,NA
SPBC29A10.13,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC29A10.16c,lipid metabolic process,4: Lipids,NA
SPBC29A3.01,transmembrane transport,6: Other metabolism,NA
SPBC29A3.02c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC29A3.04,translation,0: Translation/RiBi,NA
SPBC29A3.06,translation,0: Translation/RiBi,NA
SPBC29A3.09c,translation,0: Translation/RiBi,NA
SPBC29A3.10c,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC29A3.11c,transmembrane transport,6: Other metabolism,NA
SPBC29A3.12,translation,0: Translation/RiBi,NA
SPBC29A3.16,translation,0: Translation/RiBi,NA
SPBC29A3.18,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC29B5.02c,transmembrane transport,6: Other metabolism,NA
SPBC29B5.03c,translation,0: Translation/RiBi,NA
SPBC29B5.04c,lipid metabolic process,4: Lipids,NA
SPBC2A9.05c,vesicle-mediated transport,6: Other metabolism,NA
SPBC2A9.06c,lipid metabolic process,4: Lipids,NA
SPBC2A9.08c,vesicle-mediated transport,6: Other metabolism,NA
SPBC2D10.04,vesicle-mediated transport,6: Other metabolism,NA
SPBC2D10.05,carbohydrate metabolic process,6: Other metabolism,NA
SPBC2D10.09,cellular amino acid metabolic process,3: Amino acids,NA
SPBC2D10.10c,translation,0: Translation/RiBi,NA
SPBC2F12.04,translation,0: Translation/RiBi,NA
SPBC2F12.05c,vesicle-mediated transport,6: Other metabolism,NA
SPBC2F12.14c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC2F12.17,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC2G2.01c,transmembrane transport,6: Other metabolism,NA
SPBC2G2.02,carbohydrate metabolic process;lipid metabolic process,4: Lipids,NA
SPBC2G2.03c,transmembrane transport,6: Other metabolism,NA
SPBC2G2.04c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC2G2.05,translation,0: Translation/RiBi,NA
SPBC2G2.06c,vesicle-mediated transport,6: Other metabolism,NA
SPBC2G2.08,nucleobase-containing small molecule metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBC2G2.11,lipid metabolic process,4: Lipids,NA
SPBC2G2.12,cellular amino acid metabolic process,3: Amino acids,NA
SPBC2G2.13c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC2G2.16,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC2G5.04c,vesicle-mediated transport,6: Other metabolism,NA
SPBC2G5.05,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC2G5.06c,secondary metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPBC30B4.02c,translation,0: Translation/RiBi,NA
SPBC30D10.03c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC30D10.13c,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPBC30D10.15,translation,0: Translation/RiBi,NA
SPBC30D10.16,cellular amino acid metabolic process,3: Amino acids,NA
SPBC30D10.18c,translation,0: Translation/RiBi,NA
SPBC31E1.02c,transmembrane transport,6: Other metabolism,NA
SPBC31E1.04,vesicle-mediated transport,6: Other metabolism,NA
SPBC31E1.06,translation,0: Translation/RiBi,NA
SPBC31F10.02,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPBC31F10.03,sulfur compound metabolic process,6: Other metabolism,NA
SPBC31F10.06c,vesicle-mediated transport,6: Other metabolism,NA
SPBC31F10.07,vesicle-mediated transport,6: Other metabolism,NA
SPBC31F10.12,translation,0: Translation/RiBi,NA
SPBC31F10.15c,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC31F10.16,vesicle-mediated transport,6: Other metabolism,NA
SPBC32F12.01c,lipid metabolic process,4: Lipids,NA
SPBC32F12.10,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process,2: Precursors/Energy,Other
SPBC32F12.11,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC32F12.12c,vesicle-mediated transport,6: Other metabolism,NA
SPBC32H8.04c,translation,0: Translation/RiBi,NA
SPBC32H8.12c,vesicle-mediated transport,6: Other metabolism,NA
SPBC336.02,translation,0: Translation/RiBi,NA
SPBC336.10c,translation,0: Translation/RiBi,NA
SPBC336.11,vesicle-mediated transport,6: Other metabolism,NA
SPBC337.09,lipid metabolic process,4: Lipids,NA
SPBC337.10c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC337.16,lipid metabolic process,4: Lipids,NA
SPBC342.01c,lipid metabolic process,4: Lipids,NA
SPBC342.02,cellular amino acid metabolic process,3: Amino acids,NA
SPBC354.02c,transmembrane transport,6: Other metabolism,NA
SPBC354.07c,lipid metabolic process,4: Lipids,NA
SPBC354.08c,transmembrane transport,6: Other metabolism,NA
SPBC354.12,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBC354.15,cellular amino acid metabolic process,3: Amino acids,NA
SPBC359.03c,transmembrane transport,6: Other metabolism,NA
SPBC359.05,transmembrane transport,6: Other metabolism,NA
SPBC36.03c,transmembrane transport,6: Other metabolism,NA
SPBC36.04,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC36.06c,lipid metabolic process,4: Lipids,NA
SPBC36.08c,vesicle-mediated transport,6: Other metabolism,NA
SPBC365.02c,generation of precursor metabolites and energy;tetrapyrrole metabolic process,2: Precursors/Energy,Other
SPBC365.03c,translation,0: Translation/RiBi,NA
SPBC365.04c,translation,0: Translation/RiBi,NA
SPBC365.11,vesicle-mediated transport,6: Other metabolism,NA
SPBC365.13c,translation,0: Translation/RiBi,NA
SPBC365.14c,carbohydrate metabolic process;nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC36B7.03,transmembrane transport,6: Other metabolism,NA
SPBC36B7.07,vesicle-mediated transport,6: Other metabolism,NA
SPBC3B8.01c,generation of precursor metabolites and energy;sulfur compound metabolic process,2: Precursors/Energy,Other
SPBC3B8.03,cellular amino acid metabolic process,3: Amino acids,NA
SPBC3B8.04c,transmembrane transport,6: Other metabolism,NA
SPBC3B8.07c,lipid metabolic process,4: Lipids,NA
SPBC3B8.09,translation,0: Translation/RiBi,NA
SPBC3B9.05,transmembrane transport,6: Other metabolism,NA
SPBC3B9.10,vesicle-mediated transport,6: Other metabolism,NA
SPBC3B9.13c,translation,0: Translation/RiBi,NA
SPBC3B9.17,sulfur compound metabolic process,6: Other metabolism,NA
SPBC3B9.18c,transmembrane transport,6: Other metabolism,NA
SPBC3B9.19,sulfur compound metabolic process;transmembrane transport,6: Other metabolism,NA
SPBC3D6.05,lipid metabolic process,4: Lipids,NA
SPBC3D6.06c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC3D6.12,translation,0: Translation/RiBi,NA
SPBC3D6.15;SPAC694.05c,translation,0: Translation/RiBi,NA
SPBC3E7.06c,transmembrane transport,6: Other metabolism,NA
SPBC3E7.11c,transmembrane transport,6: Other metabolism,NA
SPBC3E7.15c,lipid metabolic process,4: Lipids,NA
SPBC3E7.16c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC3F6.02c,lipid metabolic process,4: Lipids,NA
SPBC3F6.04c,translation,0: Translation/RiBi,NA
SPBC3H7.01,vesicle-mediated transport,6: Other metabolism,NA
SPBC3H7.02,transmembrane transport,6: Other metabolism,NA
SPBC3H7.03c,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPBC3H7.05c,lipid metabolic process,4: Lipids,NA
SPBC3H7.07c;REV__SPBC3H7.07c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC3H7.15,vesicle-mediated transport,6: Other metabolism,NA
SPBC4.02c,translation,0: Translation/RiBi,NA
SPBC4.03c,vesicle-mediated transport,6: Other metabolism,NA
SPBC4.06,lipid metabolic process,4: Lipids,NA
SPBC405.01,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC405.04c,vesicle-mediated transport,6: Other metabolism,NA
SPBC409.10,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC409.13,vitamin metabolic process,5: Vitamins,NA
SPBC409.15,translation,0: Translation/RiBi,NA
SPBC409.18,lipid metabolic process,4: Lipids,NA
SPBC409.20c,vesicle-mediated transport,6: Other metabolism,NA
SPBC409.21,transmembrane transport,6: Other metabolism,NA
SPBC418.01c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC428.01c,translation,0: Translation/RiBi,NA
SPBC428.02c,cellular amino acid metabolic process,3: Amino acids,NA
SPBC428.03c,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBC428.04,lipid metabolic process,4: Lipids,NA
SPBC428.05c,cellular amino acid metabolic process;nitrogen cycle metabolic process,3: Amino acids,NA
SPBC428.11,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC428.14,lipid metabolic process,4: Lipids,NA
SPBC428.19c,translation,0: Translation/RiBi,NA
SPBC460.01c,transmembrane transport,6: Other metabolism,NA
SPBC460.02c,translation,0: Translation/RiBi,NA
SPBC460.04c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC4B4.01c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC4B4.04,translation,0: Translation/RiBi,NA
SPBC4B4.08,transmembrane transport,6: Other metabolism,NA
SPBC4C3.03,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC4C3.04c,vesicle-mediated transport,6: Other metabolism,NA
SPBC4C3.06,vesicle-mediated transport,6: Other metabolism,NA
SPBC4C3.07,translation,0: Translation/RiBi,NA
SPBC4F6.04,translation,0: Translation/RiBi,NA
SPBC4F6.05c,vesicle-mediated transport,6: Other metabolism,NA
SPBC4F6.07c,translation,0: Translation/RiBi,NA
SPBC4F6.09,transmembrane transport,6: Other metabolism,NA
SPBC4F6.10,vesicle-mediated transport,6: Other metabolism,NA
SPBC4F6.13c,translation,0: Translation/RiBi,NA
SPBC4F6.14,translation,0: Translation/RiBi,NA
SPBC4F6.18c,vesicle-mediated transport,6: Other metabolism,NA
SPBC530.01,vesicle-mediated transport,6: Other metabolism,NA
SPBC530.09c,vesicle-mediated transport,6: Other metabolism,NA
SPBC530.10c,transmembrane transport,6: Other metabolism,NA
SPBC530.12c,lipid metabolic process,4: Lipids,NA
SPBC543.06c,translation,0: Translation/RiBi,NA
SPBC543.08,lipid metabolic process,4: Lipids,NA
SPBC56F2.02,translation,0: Translation/RiBi,NA
SPBC56F2.04,translation,0: Translation/RiBi,NA
SPBC56F2.07c,translation,0: Translation/RiBi,NA
SPBC56F2.09c,cellular amino acid metabolic process;nitrogen cycle metabolic process,3: Amino acids,NA
SPBC56F2.10c,lipid metabolic process,4: Lipids,NA
SPBC56F2.11,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC56F2.12,cellular amino acid metabolic process,3: Amino acids,NA
SPBC577.02,translation,0: Translation/RiBi,NA
SPBC577.06c,lipid metabolic process,4: Lipids,NA
SPBC577.13,carbohydrate metabolic process;lipid metabolic process,4: Lipids,NA
SPBC582.08,cellular amino acid metabolic process,3: Amino acids,NA
SPBC582.09,lipid metabolic process,4: Lipids,NA
SPBC609.04,transmembrane transport,6: Other metabolism,NA
SPBC646.05c,lipid metabolic process,4: Lipids,NA
SPBC646.07c,lipid metabolic process,4: Lipids,NA
SPBC646.08c,lipid metabolic process,4: Lipids,NA
SPBC646.09c,translation,0: Translation/RiBi,NA
SPBC646.10c,translation,0: Translation/RiBi,NA
SPBC646.15c,transmembrane transport,6: Other metabolism,NA
SPBC649.02,translation,0: Translation/RiBi,NA
SPBC651.01c,translation,0: Translation/RiBi,NA
SPBC651.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC651.11c,vesicle-mediated transport,6: Other metabolism,NA
SPBC660.07,carbohydrate metabolic process,6: Other metabolism,NA
SPBC660.12c,sulfur compound metabolic process,6: Other metabolism,NA
SPBC660.16,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process,2: Precursors/Energy,Other
SPBC685.04c,vesicle-mediated transport,6: Other metabolism,NA
SPBC685.06,translation,0: Translation/RiBi,NA
SPBC685.07c,translation,0: Translation/RiBi,NA
SPBC691.02c,vesicle-mediated transport,6: Other metabolism,NA
SPBC691.03c,vesicle-mediated transport,6: Other metabolism,NA
SPBC691.05c,transmembrane transport,6: Other metabolism,NA
SPBC713.03,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC713.04c,translation,0: Translation/RiBi,NA
SPBC713.07c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPBC713.10,transmembrane transport,6: Other metabolism,NA
SPBC713.12,lipid metabolic process,4: Lipids,NA
SPBC725.01,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC725.03,vitamin metabolic process,5: Vitamins,NA
SPBC725.04,lipid metabolic process,4: Lipids,NA
SPBC725.05c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC725.07,transmembrane transport,6: Other metabolism,NA
SPBC725.10,transmembrane transport,6: Other metabolism,NA
SPBC725.14,cellular amino acid metabolic process,3: Amino acids,NA
SPBC725.15,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC776.03,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC776.04,vesicle-mediated transport,6: Other metabolism,NA
SPBC776.07,translation,0: Translation/RiBi,NA
SPBC776.08c,translation,0: Translation/RiBi,NA
SPBC776.10c,vesicle-mediated transport,6: Other metabolism,NA
SPBC776.11,translation,0: Translation/RiBi,NA
SPBC776.14,lipid metabolic process,4: Lipids,NA
SPBC776.15c,cellular amino acid metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPBC776.17,translation,0: Translation/RiBi,NA
SPBC800.04c,translation,0: Translation/RiBi,NA
SPBC800.06,translation,0: Translation/RiBi,NA
SPBC800.10c,vesicle-mediated transport,6: Other metabolism,NA
SPBC800.11,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBC83.01,vesicle-mediated transport,6: Other metabolism,NA
SPBC83.02c,translation,0: Translation/RiBi,NA
SPBC83.11,transmembrane transport,6: Other metabolism,NA
SPBC83.13,transmembrane transport,6: Other metabolism,NA
SPBC83.15,translation,0: Translation/RiBi,NA
SPBC839.02,vesicle-mediated transport,6: Other metabolism,NA
SPBC839.04;SPBC2F12.07c;SPAC1F7.13c,translation,0: Translation/RiBi,NA
SPBC839.05c,translation,0: Translation/RiBi,NA
SPBC839.06,transmembrane transport,6: Other metabolism,NA
SPBC839.08c,lipid metabolic process,4: Lipids,NA
SPBC839.11c,transmembrane transport,6: Other metabolism,NA
SPBC839.13c,translation,0: Translation/RiBi,NA
SPBC839.14c,vesicle-mediated transport,6: Other metabolism,NA
SPBC839.15c;SPAC23A1.10,translation,0: Translation/RiBi,NA
SPBC839.16,nucleobase-containing small molecule metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBC887.01,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC887.02,transmembrane transport,6: Other metabolism,NA
SPBC887.03c,translation,0: Translation/RiBi,NA
SPBC887.06c,vesicle-mediated transport,6: Other metabolism,NA
SPBC887.12,vesicle-mediated transport,6: Other metabolism,NA
SPBC887.13c,lipid metabolic process,4: Lipids,NA
SPBC887.15c,lipid metabolic process,4: Lipids,NA
SPBC887.17,transmembrane transport,6: Other metabolism,NA
SPBC887.19,lipid metabolic process,4: Lipids,NA
SPBC8D2.02c,vesicle-mediated transport,6: Other metabolism,NA
SPBC8D2.06,cellular amino acid metabolic process,3: Amino acids,NA
SPBC8D2.10c,translation,0: Translation/RiBi,NA
SPBC8D2.14c,vesicle-mediated transport,6: Other metabolism,NA
SPBC8D2.15,lipid metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPBC8D2.18c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPBC8D2.20c,vesicle-mediated transport,6: Other metabolism,NA
SPBC8E4.01c,transmembrane transport,6: Other metabolism,NA
SPBC8E4.03,cellular amino acid metabolic process;nitrogen cycle metabolic process,3: Amino acids,NA
SPBC8E4.04,carbohydrate metabolic process,6: Other metabolism,NA
SPBC902.05c,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPBC947.02,vesicle-mediated transport,6: Other metabolism,NA
SPBC947.15c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBC9B6.03,vesicle-mediated transport,6: Other metabolism,NA
SPBC9B6.05c,translation,0: Translation/RiBi,NA
SPBC9B6.07,translation,0: Translation/RiBi,NA
SPBC9B6.08,vesicle-mediated transport,6: Other metabolism,NA
SPBC9B6.09c,transmembrane transport,6: Other metabolism,NA
SPBC9B6.11c,translation,0: Translation/RiBi,NA
SPBP16F5.05c,translation,0: Translation/RiBi,NA
SPBP16F5.06,translation,0: Translation/RiBi,NA
SPBP16F5.07,vesicle-mediated transport,6: Other metabolism,NA
SPBP18G5.02,lipid metabolic process,4: Lipids,NA
SPBP19A11.01,cellular amino acid metabolic process,3: Amino acids,NA
SPBP22H7.02c,translation,0: Translation/RiBi,NA
SPBP22H7.06,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBP22H7.08,translation,0: Translation/RiBi,NA
SPBP23A10.06,transmembrane transport,6: Other metabolism,NA
SPBP23A10.11c,carbohydrate metabolic process,6: Other metabolism,NA
SPBP26C9.02c,cellular amino acid metabolic process;nitrogen cycle metabolic process,3: Amino acids,NA
SPBP35G2.07,cellular amino acid metabolic process,3: Amino acids,NA
SPBP35G2.12,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBP4H10.05c,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBP4H10.08,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPBP4H10.11c,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPBP4H10.13;SPAC23C11.02c,translation,0: Translation/RiBi,NA
SPBP4H10.15,cellular amino acid metabolic process;generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPBP8B7.03c,translation,0: Translation/RiBi,NA
SPBP8B7.06,translation,0: Translation/RiBi,NA
SPBP8B7.16c,translation,0: Translation/RiBi,NA
SPBP8B7.17c,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBP8B7.18c,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPBP8B7.20c,translation,0: Translation/RiBi,NA
SPBP8B7.22,vesicle-mediated transport,6: Other metabolism,NA
SPBP8B7.29,cellular amino acid metabolic process;vitamin metabolic process,3: Amino acids,NA
SPBPB10D8.02c,lipid metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPBPB21E7.01c,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPBPB21E7.09,cellular amino acid metabolic process,3: Amino acids,NA
SPBPB2B2.01,transmembrane transport,6: Other metabolism,NA
SPBPB2B2.06c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBPB2B2.09c,vitamin metabolic process,5: Vitamins,NA
SPBPB2B2.10c,carbohydrate metabolic process;nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBPB2B2.13,carbohydrate metabolic process;nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPBPJ4664.01,lipid metabolic process,4: Lipids,NA
SPBPJ4664.04,vesicle-mediated transport,6: Other metabolism,NA
SPBPJ4664.06,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1020.06c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC1020.07,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1183.01,vesicle-mediated transport,6: Other metabolism,NA
SPCC1183.03c,sulfur compound metabolic process;tetrapyrrole metabolic process,6: Other metabolism,NA
SPCC1183.07,translation,0: Translation/RiBi,NA
SPCC1183.08c,translation,0: Translation/RiBi,NA
SPCC1183.09c,transmembrane transport,6: Other metabolism,NA
SPCC1183.11,transmembrane transport,6: Other metabolism,NA
SPCC11E10.01,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPCC11E10.02c,lipid metabolic process,4: Lipids,NA
SPCC11E10.05c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC11E10.07c,translation,0: Translation/RiBi,NA
SPCC1223.02,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPCC1223.03c,carbohydrate metabolic process,6: Other metabolism,NA
SPCC1223.05c;SPAPB17E12.05,translation,0: Translation/RiBi,NA
SPCC1223.07c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1223.08c,lipid metabolic process;vitamin metabolic process,4: Lipids,NA
SPCC1223.09,nitrogen cycle metabolic process;nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1235.02,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPCC1235.04c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1235.10c,vesicle-mediated transport,6: Other metabolism,NA
SPCC1235.11,transmembrane transport,6: Other metabolism,NA
SPCC1235.13,transmembrane transport,6: Other metabolism,NA
SPCC1235.14,transmembrane transport,6: Other metabolism,NA
SPCC1235.15,lipid metabolic process,4: Lipids,NA
SPCC1259.01c;SPBC16D10.11c,translation,0: Translation/RiBi,NA
